,action_i,action,cost,prob,user,tod
0,0,politics,0.0,0.2,2,21
1,3,food,-1.0,0.2,0,7
2,3,food,0.0,0.84000000834465,7,5
3,3,food,0.0,0.84000000834465,9,12
4,3,food,0.0,0.84000000834465,9,4
5,3,food,-1.0,0.84000000834465,6,10
6,3,food,0.0,0.84000000834465,5,9
7,3,food,-1.0,0.84000000834465,0,11
8,3,food,-1.0,0.84000000834465,4,1
9,3,food,0.0,0.84000000834465,9,17
10,3,food,-1.0,0.84000000834465,2,0
11,3,food,0.0,0.84000000834465,7,1
12,3,food,0.0,0.84000000834465,1,7
13,1,sports,0.0,0.039999997913837494,5,11
14,3,food,0.0,0.84000000834465,1,11
15,3,food,0.0,0.84000000834465,1,22
16,3,food,0.0,0.84000000834465,1,8
17,4,finance,0.0,0.039999997913837494,9,17
18,2,music,0.0,0.039999997913837494,9,18
19,3,food,-1.0,0.84000000834465,0,10
20,3,food,-1.0,0.84000000834465,0,8
21,4,finance,0.0,0.039999997913837494,5,20
22,3,food,-1.0,0.84000000834465,2,17
23,3,food,0.0,0.84000000834465,1,18
24,3,food,-1.0,0.84000000834465,2,9
25,3,food,0.0,0.84000000834465,1,0
26,3,food,0.0,0.84000000834465,9,2
27,3,food,-1.0,0.84000000834465,2,5
28,3,food,0.0,0.84000000834465,9,20
29,3,food,-1.0,0.84000000834465,2,5
30,3,food,-1.0,0.84000000834465,0,13
31,3,food,-1.0,0.84000000834465,4,11
32,3,food,-1.0,0.84000000834465,4,17
33,2,music,-1.0,0.039999997913837494,3,3
34,3,food,0.0,0.84000000834465,6,22
35,3,food,0.0,0.039999997913837494,3,2
36,2,music,-1.0,0.84000000834465,9,11
37,3,food,0.0,0.039999997913837494,5,12
38,3,food,-1.0,0.84000000834465,2,9
39,2,music,0.0,0.84000000834465,7,23
40,2,music,-1.0,0.84000000834465,9,10
41,2,music,-1.0,0.84000000834465,1,8
42,0,politics,0.0,0.039999997913837494,4,5
43,3,food,-1.0,0.84000000834465,6,13
44,2,music,0.0,0.84000000834465,5,8
45,2,music,0.0,0.84000000834465,7,4
46,3,food,-1.0,0.84000000834465,0,10
47,4,finance,0.0,0.039999997913837494,9,19
48,2,music,0.0,0.84000000834465,1,21
49,3,food,-1.0,0.84000000834465,0,11
50,3,food,-1.0,0.84000000834465,6,7
51,3,food,-1.0,0.84000000834465,6,9
52,2,music,0.0,0.84000000834465,8,12
53,3,food,-1.0,0.84000000834465,8,0
54,4,finance,-1.0,0.039999997913837494,5,9
55,2,music,-1.0,0.039999997913837494,6,10
56,3,food,-1.0,0.84000000834465,0,16
57,2,music,-1.0,0.84000000834465,1,8
58,3,food,-1.0,0.84000000834465,4,10
59,4,finance,-1.0,0.84000000834465,7,9
60,3,food,-1.0,0.84000000834465,6,4
61,3,food,-1.0,0.84000000834465,6,12
62,3,food,-1.0,0.84000000834465,8,12
63,4,finance,-1.0,0.84000000834465,5,14
64,4,finance,-1.0,0.039999997913837494,9,6
65,3,food,-1.0,0.84000000834465,2,9
66,2,music,-1.0,0.84000000834465,1,5
67,3,food,-1.0,0.84000000834465,0,7
68,3,food,-1.0,0.84000000834465,8,1
69,4,finance,-1.0,0.84000000834465,5,7
70,4,finance,-1.0,0.84000000834465,5,6
71,3,food,-1.0,0.84000000834465,0,11
72,3,food,-1.0,0.84000000834465,2,18
73,3,food,-1.0,0.84000000834465,4,16
74,3,food,-1.0,0.84000000834465,4,9
75,2,music,0.0,0.84000000834465,9,18
76,4,finance,0.0,0.84000000834465,9,22
77,3,food,-1.0,0.84000000834465,0,17
78,3,food,0.0,0.84000000834465,4,21
79,2,music,0.0,0.84000000834465,9,22
80,3,food,-1.0,0.84000000834465,2,13
81,4,finance,0.0,0.84000000834465,9,22
82,0,politics,0.0,0.039999997913837494,7,7
83,3,food,-1.0,0.84000000834465,0,4
84,4,finance,-1.0,0.84000000834465,5,2
85,0,politics,-1.0,0.039999997913837494,9,5
86,4,finance,-1.0,0.039999997913837494,1,2
87,3,food,-1.0,0.84000000834465,0,13
88,4,finance,-1.0,0.84000000834465,9,8
89,3,food,-1.0,0.84000000834465,2,13
90,3,food,0.0,0.84000000834465,4,20
91,3,food,-1.0,0.84000000834465,6,12
92,0,politics,0.0,0.039999997913837494,2,6
93,3,food,0.0,0.84000000834465,8,23
94,4,finance,0.0,0.84000000834465,9,16
95,2,music,-1.0,0.84000000834465,3,1
96,2,music,0.0,0.84000000834465,3,20
97,3,food,-1.0,0.84000000834465,0,7
98,4,finance,-1.0,0.84000000834465,3,2
99,4,finance,0.0,0.84000000834465,9,21
100,3,food,-1.0,0.84000000834465,4,1
101,3,food,-1.0,0.84000000834465,0,18
102,1,sports,0.0,0.039999997913837494,9,1
103,2,music,-1.0,0.84000000834465,9,10
104,4,finance,-1.0,0.84000000834465,3,9
105,4,finance,-1.0,0.84000000834465,3,9
106,3,food,-1.0,0.84000000834465,2,3
107,4,finance,-1.0,0.84000000834465,7,14
108,3,food,-1.0,0.84000000834465,0,19
109,1,sports,0.0,0.039999997913837494,5,9
110,3,food,-1.0,0.84000000834465,2,0
111,3,food,-1.0,0.84000000834465,0,19
112,4,finance,-1.0,0.84000000834465,7,12
113,3,food,-1.0,0.84000000834465,2,9
114,3,food,-1.0,0.84000000834465,4,3
115,3,food,-1.0,0.84000000834465,6,10
116,4,finance,-1.0,0.84000000834465,5,18
117,4,finance,0.0,0.84000000834465,4,14
118,4,finance,-1.0,0.84000000834465,5,7
119,4,finance,0.0,0.84000000834465,9,20
120,4,finance,-1.0,0.84000000834465,7,11
121,3,food,-1.0,0.84000000834465,6,12
122,4,finance,-1.0,0.84000000834465,9,13
123,3,food,-1.0,0.84000000834465,4,9
124,1,sports,0.0,0.039999997913837494,9,1
125,4,finance,-1.0,0.84000000834465,0,2
126,3,food,-1.0,0.84000000834465,4,1
127,3,food,-1.0,0.84000000834465,2,3
128,4,finance,0.0,0.84000000834465,8,23
129,1,sports,0.0,0.039999997913837494,8,23
130,3,food,0.0,0.84000000834465,8,23
131,3,food,0.0,0.84000000834465,2,22
132,3,food,0.0,0.84000000834465,0,20
133,4,finance,0.0,0.84000000834465,1,21
134,3,food,-1.0,0.84000000834465,0,1
135,4,finance,-1.0,0.84000000834465,7,11
136,1,sports,0.0,0.039999997913837494,3,23
137,2,music,-1.0,0.84000000834465,9,5
138,4,finance,-1.0,0.84000000834465,3,6
139,4,finance,-1.0,0.84000000834465,5,8
140,3,food,-1.0,0.84000000834465,0,4
141,3,food,0.0,0.039999997913837494,1,22
142,3,food,-1.0,0.84000000834465,8,1
143,4,finance,0.0,0.039999997913837494,8,8
144,3,food,0.0,0.039999997913837494,9,12
145,2,music,-1.0,0.84000000834465,1,1
146,3,food,-1.0,0.84000000834465,2,15
147,3,food,-1.0,0.84000000834465,6,17
